Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
19/05/2012,Palmeiras,Portuguesa,1.0,1.0,D
19/05/2012,Sport Recife,Flamengo RJ,1.0,1.0,D
20/05/2012,Figueirense,Nautico,2.0,1.0,H
20/05/2012,Botafogo RJ,Sao Paulo,4.0,2.0,H
20/05/2012,Corinthians,Fluminense,0.0,1.0,A
20/05/2012,Internacional,Coritiba,2.0,0.0,H
20/05/2012,Ponte Preta,Atletico-MG,0.0,1.0,A
20/05/2012,Bahia,Santos,0.0,0.0,D
20/05/2012,Cruzeiro,Atletico GO,0.0,0.0,D
20/05/2012,Vasco,Gremio,2.0,1.0,H
26/05/2012,Atletico GO,Ponte Preta,1.0,1.0,D
26/05/2012,Flamengo RJ,Internacional,3.0,3.0,D
26/05/2012,Portuguesa,Vasco,0.0,1.0,A
27/05/2012,Nautico,Cruzeiro,0.0,0.0,D
27/05/2012,Atletico-MG,Corinthians,1.0,0.0,H
27/05/2012,Coritiba,Botafogo RJ,2.0,3.0,A
27/05/2012,Santos,Sport Recife,0.0,0.0,D
27/05/2012,Sao Paulo,Bahia,1.0,0.0,H
27/05/2012,Fluminense,Figueirense,2.0,2.0,D
27/05/2012,Gremio,Palmeiras,1.0,0.0,H
06/06/2012,Atletico GO,Gremio,0.0,1.0,A
06/06/2012,Sport Recife,Palmeiras,2.0,1.0,H
07/06/2012,Atletico-MG,Bahia,1.0,1.0,D
07/06/2012,Coritiba,Portuguesa,2.0,0.0,H
07/06/2012,Vasco,Nautico,4.0,2.0,H
07/06/2012,Internacional,Sao Paulo,1.0,0.0,H
07/06/2012,Ponte Preta,Flamengo RJ,2.0,2.0,D
07/06/2012,Santos,Fluminense,1.0,1.0,D
08/06/2012,Botafogo RJ,Cruzeiro,2.0,3.0,A
08/06/2012,Corinthians,Figueirense,1.0,1.0,D
09/06/2012,Flamengo RJ,Coritiba,3.0,1.0,H
10/06/2012,Palmeiras,Atletico-MG,0.0,1.0,A
10/06/2012,Portuguesa,Atletico GO,2.0,0.0,H
10/06/2012,Bahia,Vasco,1.0,2.0,A
10/06/2012,Fluminense,Internacional,0.0,0.0,D
10/06/2012,Gremio,Corinthians,2.0,0.0,H
10/06/2012,Cruzeiro,Sport Recife,1.0,0.0,H
10/06/2012,Figueirense,Ponte Preta,0.0,0.0,D
10/06/2012,Nautico,Botafogo RJ,3.0,2.0,H
10/06/2012,Sao Paulo,Santos,1.0,0.0,H
16/06/2012,Cruzeiro,Figueirense,1.0,0.0,H
16/06/2012,Internacional,Botafogo RJ,1.0,2.0,A
17/06/2012,Fluminense,Portuguesa,4.0,1.0,H
17/06/2012,Bahia,Sport Recife,2.0,1.0,H
17/06/2012,Flamengo RJ,Santos,1.0,0.0,H
17/06/2012,Palmeiras,Vasco,1.0,1.0,D
17/06/2012,Sao Paulo,Atletico-MG,1.0,0.0,H
17/06/2012,Coritiba,Atletico GO,3.0,0.0,H
17/06/2012,Nautico,Gremio,1.0,0.0,H
17/06/2012,Ponte Preta,Corinthians,1.0,0.0,H
23/06/2012,Portuguesa,Sao Paulo,1.0,0.0,H
23/06/2012,Vasco,Cruzeiro,1.0,3.0,A
24/06/2012,Atletico-MG,Nautico,5.0,1.0,H
24/06/2012,Corinthians,Palmeiras,2.0,1.0,H
24/06/2012,Figueirense,Bahia,1.0,1.0,D
24/06/2012,Gremio,Flamengo RJ,2.0,0.0,H
24/06/2012,Atletico GO,Fluminense,1.0,4.0,A
24/06/2012,Botafogo RJ,Ponte Preta,1.0,2.0,A
24/06/2012,Santos,Coritiba,2.0,2.0,D
24/06/2012,Sport Recife,Internacional,0.0,2.0,A
30/06/2012,Cruzeiro,Sao Paulo,2.0,3.0,A
30/06/2012,Nautico,Fluminense,0.0,2.0,A
30/06/2012,Vasco,Ponte Preta,3.0,2.0,H
01/07/2012,Bahia,Internacional,1.0,1.0,D
01/07/2012,Coritiba,Sport Recife,2.0,3.0,A
01/07/2012,Portuguesa,Santos,0.0,0.0,D
01/07/2012,Flamengo RJ,Atletico GO,3.0,2.0,H
01/07/2012,Gremio,Atletico-MG,0.0,1.0,A
01/07/2012,Palmeiras,Figueirense,3.0,1.0,H
07/07/2012,Botafogo RJ,Bahia,3.0,0.0,H
07/07/2012,Internacional,Cruzeiro,2.0,1.0,H
08/07/2012,Atletico GO,Nautico,0.0,1.0,A
08/07/2012,Figueirense,Vasco,1.0,1.0,D
08/07/2012,Fluminense,Flamengo RJ,1.0,0.0,H
08/07/2012,Santos,Gremio,4.0,2.0,H
08/07/2012,Sao Paulo,Coritiba,3.0,1.0,H
08/07/2012,Atletico-MG,Portuguesa,2.0,0.0,H
08/07/2012,Ponte Preta,Palmeiras,1.0,0.0,H
08/07/2012,Sport Recife,Corinthians,1.0,1.0,D
11/07/2012,Corinthians,Botafogo RJ,1.0,3.0,A
14/07/2012,Corinthians,Nautico,2.0,1.0,H
14/07/2012,Figueirense,Atletico-MG,3.0,4.0,A
15/07/2012,Ponte Preta,Coritiba,4.0,1.0,H
15/07/2012,Bahia,Flamengo RJ,1.0,2.0,A
15/07/2012,Botafogo RJ,Fluminense,1.0,1.0,D
15/07/2012,Cruzeiro,Gremio,1.0,3.0,A
15/07/2012,Internacional,Santos,0.0,0.0,D
15/07/2012,Palmeiras,Sao Paulo,1.0,1.0,D
15/07/2012,Sport Recife,Portuguesa,2.0,1.0,H
15/07/2012,Vasco,Atletico GO,1.0,0.0,H
18/07/2012,Gremio,Sport Recife,3.0,1.0,H
18/07/2012,Santos,Botafogo RJ,0.0,0.0,D
19/07/2012,Nautico,Ponte Preta,3.0,0.0,H
19/07/2012,Portuguesa,Cruzeiro,0.0,2.0,A
19/07/2012,Atletico-MG,Internacional,3.0,1.0,H
19/07/2012,Flamengo RJ,Corinthians,0.0,3.0,A
19/07/2012,Sao Paulo,Vasco,0.0,1.0,A
20/07/2012,Atletico GO,Figueirense,3.0,2.0,H
